epoch,itr,loss,uncertainty,maskA,maskB,time_ms
epoch,itr,loss,uncertainty,maskA,maskB,time_ms
1,1,0.21186,0.00000,32.00000,16.00000,7400
1,17,0.17388,0.00000,36.00000,28.00000,99
1,33,0.16139,0.00000,27.00000,37.00000,88
1,49,0.15356,0.00000,32.00000,32.00000,94
1,65,0.14790,0.00000,37.00000,27.00000,102
1,81,0.14305,0.00000,30.00000,17.00000,88
1,97,0.13862,0.00000,26.00000,38.00000,87
1,113,0.13459,0.00000,38.00000,26.00000,103
1,129,0.13072,0.00000,27.00000,37.00000,88
1,145,0.12702,0.00000,26.00000,38.00000,87
1,161,0.12344,0.00000,33.00000,15.00000,92
1,177,0.11999,0.00000,31.00000,33.00000,93
1,193,0.11668,0.00000,27.00000,37.00000,88
1,209,0.11358,0.00000,33.00000,31.00000,96
1,225,0.11057,0.00000,35.00000,29.00000,98
1,241,0.10769,0.00000,36.00000,14.00000,96
1,257,0.10498,0.00000,29.00000,35.00000,91
1,273,0.10242,0.00000,33.00000,31.00000,96
1,289,0.09997,0.00000,30.00000,34.00000,92
1,305,0.09764,0.00000,29.00000,35.00000,91
1,321,0.09538,0.00000,27.00000,18.00000,83
1,337,0.09324,0.00000,28.00000,36.00000,91
1,353,0.09118,0.00000,32.00000,32.00000,94
1,369,0.08925,0.00000,34.00000,30.00000,97
1,385,0.08741,0.00000,36.00000,28.00000,99
2,1,0.04289,0.00000,25.00000,19.00000,81
2,17,0.04305,0.00000,37.00000,27.00000,102
2,33,0.04289,0.00000,34.00000,30.00000,97
2,49,0.04212,0.00000,33.00000,31.00000,96
2,65,0.04151,0.00000,35.00000,29.00000,98
2,81,0.04078,0.00000,36.00000,14.00000,95
2,97,0.04029,0.00000,38.00000,26.00000,103
2,113,0.03978,0.00000,28.00000,36.00000,90
2,129,0.03929,0.00000,26.00000,38.00000,86
2,145,0.03877,0.00000,34.00000,30.00000,97
2,161,0.03827,0.00000,37.00000,13.00000,99
2,177,0.03784,0.00000,32.00000,32.00000,94
2,193,0.03746,0.00000,28.00000,36.00000,90
2,209,0.03708,0.00000,33.00000,31.00000,96
2,225,0.03672,0.00000,33.00000,31.00000,96
2,241,0.03633,0.00000,29.00000,17.00000,86
2,257,0.03597,0.00000,35.00000,29.00000,98
2,273,0.03560,0.00000,37.00000,27.00000,102
2,289,0.03530,0.00000,30.00000,34.00000,92
2,305,0.03498,0.00000,37.00000,27.00000,102
2,321,0.03468,0.00000,32.00000,16.00000,90
2,337,0.03440,0.00000,26.00000,38.00000,86
2,353,0.03412,0.00000,34.00000,30.00000,97
2,369,0.03386,0.00000,29.00000,35.00000,91
2,385,0.03365,0.00000,33.00000,31.00000,96
3,1,0.02701,0.00000,31.00000,16.00000,89
3,17,0.02705,0.00000,37.00000,27.00000,102
3,33,0.02717,0.00000,34.00000,30.00000,98
3,49,0.02739,0.00000,31.00000,33.00000,92
3,65,0.02730,0.00000,31.00000,33.00000,92
3,81,0.02708,0.00000,30.00000,17.00000,88
3,97,0.02694,0.00000,27.00000,37.00000,87
3,113,0.02683,0.00000,27.00000,37.00000,87
3,129,0.02671,0.00000,35.00000,29.00000,98
3,145,0.02650,0.00000,26.00000,38.00000,87
3,161,0.02635,0.00000,35.00000,14.00000,95
3,177,0.02622,0.00000,29.00000,35.00000,91
3,193,0.02606,0.00000,34.00000,30.00000,98
3,209,0.02592,0.00000,28.00000,36.00000,90
3,225,0.02577,0.00000,25.00000,39.00000,86
3,241,0.02564,0.00000,34.00000,15.00000,94
3,257,0.02546,0.00000,31.00000,33.00000,92
3,273,0.02532,0.00000,33.00000,31.00000,96
3,289,0.02523,0.00000,25.00000,39.00000,86
3,305,0.02516,0.00000,27.00000,37.00000,88
3,321,0.02500,0.00000,36.00000,14.00000,96
3,337,0.02486,0.00000,28.00000,36.00000,90
3,353,0.02472,0.00000,28.00000,36.00000,90
3,369,0.02456,0.00000,30.00000,34.00000,92
3,385,0.02445,0.00000,32.00000,32.00000,94
4,1,0.02018,0.00000,35.00000,14.00000,95
4,17,0.02179,0.00000,32.00000,32.00000,94
4,33,0.02208,0.00000,37.00000,27.00000,102
4,49,0.02232,0.00000,32.00000,32.00000,94
4,65,0.02211,0.00000,38.00000,26.00000,103
4,81,0.02199,0.00000,37.00000,13.00000,99
4,97,0.02189,0.00000,34.00000,30.00000,98
4,113,0.02190,0.00000,27.00000,37.00000,88
4,129,0.02187,0.00000,36.00000,28.00000,99
4,145,0.02178,0.00000,26.00000,38.00000,86
4,161,0.02169,0.00000,27.00000,18.00000,83
4,177,0.02163,0.00000,30.00000,34.00000,92
4,193,0.02158,0.00000,28.00000,36.00000,90
4,209,0.02156,0.00000,26.00000,38.00000,87
4,225,0.02149,0.00000,26.00000,38.00000,87
4,241,0.02142,0.00000,35.00000,14.00000,95
4,257,0.02133,0.00000,31.00000,33.00000,93
4,273,0.02130,0.00000,32.00000,32.00000,94
4,289,0.02124,0.00000,29.00000,35.00000,91
4,305,0.02117,0.00000,33.00000,31.00000,96
4,321,0.02108,0.00000,29.00000,17.00000,86
4,337,0.02100,0.00000,36.00000,28.00000,99
4,353,0.02094,0.00000,37.00000,27.00000,102
4,369,0.02089,0.00000,33.00000,31.00000,96
4,385,0.02084,0.00000,36.00000,28.00000,99
5,1,0.02027,0.00000,28.00000,18.00000,109
5,17,0.01945,0.00000,36.00000,28.00000,101
5,33,0.01946,0.00000,36.00000,28.00000,99
5,49,0.01949,0.00000,28.00000,36.00000,90
5,65,0.01934,0.00000,34.00000,30.00000,98
5,81,0.01932,0.00000,30.00000,17.00000,88
5,97,0.01920,0.00000,27.00000,37.00000,88
5,113,0.01900,0.00000,34.00000,30.00000,98
5,129,0.01904,0.00000,33.00000,31.00000,96
5,145,0.01898,0.00000,31.00000,33.00000,93
5,161,0.01895,0.00000,33.00000,15.00000,92
5,177,0.01897,0.00000,32.00000,32.00000,95
5,193,0.01891,0.00000,32.00000,32.00000,95
5,209,0.01888,0.00000,36.00000,28.00000,99
5,225,0.01888,0.00000,28.00000,36.00000,90
5,241,0.01892,0.00000,32.00000,16.00000,90
5,257,0.01889,0.00000,26.00000,38.00000,87
5,273,0.01886,0.00000,29.00000,35.00000,91
5,289,0.01879,0.00000,36.00000,28.00000,99
5,305,0.01872,0.00000,34.00000,30.00000,98
5,321,0.01864,0.00000,26.00000,19.00000,82
5,337,0.01864,0.00000,32.00000,32.00000,94
5,353,0.01860,0.00000,38.00000,26.00000,103
5,369,0.01857,0.00000,26.00000,38.00000,86
5,385,0.01857,0.00000,37.00000,27.00000,102
6,1,0.01762,0.00000,32.00000,16.00000,105
6,17,0.01807,0.00000,26.00000,38.00000,87
6,33,0.01777,0.00000,32.00000,32.00000,94
6,49,0.01759,0.00000,35.00000,29.00000,99
6,65,0.01760,0.00000,31.00000,33.00000,93
6,81,0.01752,0.00000,33.00000,15.00000,92
6,97,0.01748,0.00000,36.00000,28.00000,99
6,113,0.01748,0.00000,31.00000,33.00000,92
6,129,0.01740,0.00000,33.00000,31.00000,96
6,145,0.01731,0.00000,34.00000,30.00000,98
6,161,0.01730,0.00000,32.00000,16.00000,90
6,177,0.01728,0.00000,27.00000,37.00000,87
6,193,0.01726,0.00000,36.00000,28.00000,99
6,209,0.01719,0.00000,27.00000,37.00000,87
6,225,0.01714,0.00000,36.00000,28.00000,99
6,241,0.01713,0.00000,34.00000,15.00000,94
6,257,0.01711,0.00000,30.00000,34.00000,92
6,273,0.01708,0.00000,36.00000,28.00000,99
6,289,0.01704,0.00000,28.00000,36.00000,90
6,305,0.01704,0.00000,27.00000,37.00000,87
6,321,0.01704,0.00000,36.00000,14.00000,96
6,337,0.01700,0.00000,36.00000,28.00000,99
6,353,0.01698,0.00000,32.00000,32.00000,94
6,369,0.01696,0.00000,25.00000,39.00000,86
6,385,0.01695,0.00000,33.00000,31.00000,96
7,1,0.01669,0.00000,33.00000,15.00000,93
7,17,0.01673,0.00000,27.00000,37.00000,88
7,33,0.01631,0.00000,36.00000,28.00000,99
7,49,0.01632,0.00000,37.00000,27.00000,102
7,65,0.01645,0.00000,34.00000,30.00000,97
7,81,0.01641,0.00000,31.00000,16.00000,88
7,97,0.01644,0.00000,30.00000,34.00000,92
7,113,0.01638,0.00000,36.00000,28.00000,99
7,129,0.01635,0.00000,29.00000,35.00000,91
7,145,0.01626,0.00000,37.00000,27.00000,102
7,161,0.01622,0.00000,36.00000,14.00000,96
7,177,0.01619,0.00000,31.00000,33.00000,92
7,193,0.01616,0.00000,29.00000,35.00000,91
7,209,0.01610,0.00000,37.00000,27.00000,102
7,225,0.01607,0.00000,37.00000,27.00000,102
7,241,0.01600,0.00000,27.00000,18.00000,83
7,257,0.01595,0.00000,28.00000,36.00000,90
7,273,0.01597,0.00000,25.00000,39.00000,86
7,289,0.01594,0.00000,32.00000,32.00000,94
7,305,0.01594,0.00000,36.00000,28.00000,99
7,321,0.01591,0.00000,36.00000,14.00000,95
7,337,0.01591,0.00000,33.00000,31.00000,96
7,353,0.01588,0.00000,32.00000,32.00000,94
7,369,0.01584,0.00000,33.00000,31.00000,96
7,385,0.01581,0.00000,31.00000,33.00000,92
8,1,0.01795,0.00000,26.00000,19.00000,103
8,17,0.01523,0.00000,34.00000,30.00000,98
8,33,0.01565,0.00000,34.00000,30.00000,97
8,49,0.01558,0.00000,33.00000,31.00000,96
8,65,0.01549,0.00000,33.00000,31.00000,96
8,81,0.01543,0.00000,33.00000,15.00000,92
8,97,0.01532,0.00000,25.00000,39.00000,86
8,113,0.01528,0.00000,27.00000,37.00000,88
8,129,0.01522,0.00000,29.00000,35.00000,91
8,145,0.01524,0.00000,27.00000,37.00000,88
8,161,0.01517,0.00000,34.00000,15.00000,94
8,177,0.01517,0.00000,28.00000,36.00000,90
8,193,0.01512,0.00000,34.00000,30.00000,98
8,209,0.01511,0.00000,28.00000,36.00000,90
8,225,0.01510,0.00000,36.00000,28.00000,100
8,241,0.01509,0.00000,28.00000,18.00000,86
8,257,0.01510,0.00000,28.00000,36.00000,90
8,273,0.01511,0.00000,30.00000,34.00000,92
8,289,0.01508,0.00000,34.00000,30.00000,98
8,305,0.01505,0.00000,33.00000,31.00000,96
8,321,0.01504,0.00000,29.00000,17.00000,87
8,337,0.01500,0.00000,28.00000,36.00000,90
8,353,0.01498,0.00000,35.00000,29.00000,98
8,369,0.01497,0.00000,33.00000,31.00000,96
8,385,0.01497,0.00000,33.00000,31.00000,96
9,1,0.01533,0.00000,28.00000,18.00000,86
9,17,0.01489,0.00000,31.00000,33.00000,93
9,33,0.01464,0.00000,34.00000,30.00000,98
9,49,0.01437,0.00000,32.00000,32.00000,95
9,65,0.01445,0.00000,31.00000,33.00000,93
9,81,0.01447,0.00000,35.00000,14.00000,95
9,97,0.01454,0.00000,27.00000,37.00000,88
9,113,0.01455,0.00000,27.00000,37.00000,88
9,129,0.01455,0.00000,26.00000,38.00000,87
9,145,0.01456,0.00000,37.00000,27.00000,102
9,161,0.01450,0.00000,33.00000,15.00000,92
9,177,0.01450,0.00000,36.00000,28.00000,99
9,193,0.01451,0.00000,27.00000,37.00000,88
9,209,0.01448,0.00000,29.00000,35.00000,91
9,225,0.01440,0.00000,34.00000,30.00000,98
9,241,0.01436,0.00000,34.00000,15.00000,94
9,257,0.01434,0.00000,33.00000,31.00000,97
9,273,0.01434,0.00000,29.00000,35.00000,91
9,289,0.01437,0.00000,30.00000,34.00000,92
9,305,0.01436,0.00000,37.00000,27.00000,102
9,321,0.01432,0.00000,34.00000,15.00000,94
9,337,0.01431,0.00000,30.00000,34.00000,92
9,353,0.01430,0.00000,35.00000,29.00000,99
9,369,0.01432,0.00000,27.00000,37.00000,88
9,385,0.01429,0.00000,37.00000,27.00000,102
10,1,0.01429,0.00000,29.00000,17.00000,110
10,17,0.01352,0.00000,38.00000,26.00000,103
10,33,0.01390,0.00000,33.00000,31.00000,96
10,49,0.01410,0.00000,36.00000,28.00000,100
10,65,0.01409,0.00000,25.00000,39.00000,87
10,81,0.01394,0.00000,33.00000,15.00000,93
10,97,0.01392,0.00000,33.00000,31.00000,97
10,113,0.01396,0.00000,31.00000,33.00000,92
10,129,0.01401,0.00000,34.00000,30.00000,98
10,145,0.01410,0.00000,33.00000,31.00000,96
10,161,0.01407,0.00000,29.00000,17.00000,87
10,177,0.01403,0.00000,36.00000,28.00000,99
10,193,0.01404,0.00000,25.00000,39.00000,86
10,209,0.01404,0.00000,34.00000,30.00000,98
10,225,0.01400,0.00000,29.00000,35.00000,91
10,241,0.01394,0.00000,34.00000,15.00000,94
10,257,0.01396,0.00000,35.00000,29.00000,98
10,273,0.01393,0.00000,26.00000,38.00000,87
10,289,0.01393,0.00000,28.00000,36.00000,90
10,305,0.01391,0.00000,34.00000,30.00000,98
10,321,0.01391,0.00000,34.00000,15.00000,94
10,337,0.01392,0.00000,25.00000,39.00000,86
10,353,0.01387,0.00000,37.00000,27.00000,102
10,369,0.01385,0.00000,37.00000,27.00000,103
10,385,0.01383,0.00000,35.00000,29.00000,98
11,1,0.01640,0.00000,26.00000,19.00000,83
11,17,0.01331,0.00000,35.00000,29.00000,99
11,33,0.01349,0.00000,34.00000,30.00000,98
11,49,0.01374,0.00000,36.00000,28.00000,99
11,65,0.01348,0.00000,37.00000,27.00000,102
11,81,0.01337,0.00000,36.00000,14.00000,95
11,97,0.01328,0.00000,33.00000,31.00000,96
11,113,0.01323,0.00000,29.00000,35.00000,91
11,129,0.01324,0.00000,30.00000,34.00000,92
11,145,0.01329,0.00000,32.00000,32.00000,94
11,161,0.01329,0.00000,31.00000,16.00000,88
11,177,0.01334,0.00000,26.00000,38.00000,87
11,193,0.01328,0.00000,34.00000,30.00000,98
11,209,0.01333,0.00000,30.00000,34.00000,92
11,225,0.01332,0.00000,34.00000,30.00000,98
11,241,0.01328,0.00000,32.00000,16.00000,90
11,257,0.01328,0.00000,30.00000,34.00000,92
11,273,0.01333,0.00000,29.00000,35.00000,91
11,289,0.01332,0.00000,36.00000,28.00000,99
11,305,0.01331,0.00000,38.00000,26.00000,103
11,321,0.01332,0.00000,35.00000,14.00000,95
11,337,0.01335,0.00000,35.00000,29.00000,98
11,353,0.01334,0.00000,37.00000,27.00000,102
11,369,0.01332,0.00000,30.00000,34.00000,92
11,385,0.01331,0.00000,34.00000,30.00000,97
12,1,0.01577,0.00000,25.00000,19.00000,82
12,17,0.01330,0.00000,36.00000,28.00000,99
12,33,0.01329,0.00000,31.00000,33.00000,92
12,49,0.01335,0.00000,28.00000,36.00000,90
12,65,0.01309,0.00000,31.00000,33.00000,93
12,81,0.01314,0.00000,36.00000,14.00000,96
12,97,0.01315,0.00000,35.00000,29.00000,99
12,113,0.01313,0.00000,28.00000,36.00000,91
12,129,0.01315,0.00000,30.00000,34.00000,92
12,145,0.01309,0.00000,37.00000,27.00000,102
12,161,0.01309,0.00000,28.00000,18.00000,86
12,177,0.01309,0.00000,32.00000,32.00000,95
12,193,0.01306,0.00000,29.00000,35.00000,91
12,209,0.01309,0.00000,31.00000,33.00000,92
12,225,0.01310,0.00000,29.00000,35.00000,91
12,241,0.01309,0.00000,35.00000,14.00000,95
12,257,0.01310,0.00000,27.00000,37.00000,87
12,273,0.01309,0.00000,30.00000,34.00000,92
12,289,0.01305,0.00000,36.00000,28.00000,99
12,305,0.01306,0.00000,26.00000,38.00000,87
12,321,0.01308,0.00000,29.00000,17.00000,86
12,337,0.01310,0.00000,26.00000,38.00000,87
12,353,0.01309,0.00000,35.00000,29.00000,98
12,369,0.01308,0.00000,26.00000,38.00000,86
12,385,0.01307,0.00000,27.00000,37.00000,87
13,1,0.01274,0.00000,31.00000,16.00000,89
13,17,0.01229,0.00000,34.00000,30.00000,97
13,33,0.01262,0.00000,30.00000,34.00000,92
13,49,0.01260,0.00000,28.00000,36.00000,90
13,65,0.01261,0.00000,28.00000,36.00000,90
13,81,0.01246,0.00000,35.00000,14.00000,95
13,97,0.01256,0.00000,29.00000,35.00000,91
13,113,0.01265,0.00000,32.00000,32.00000,94
13,129,0.01264,0.00000,31.00000,33.00000,92
13,145,0.01262,0.00000,26.00000,38.00000,86
13,161,0.01268,0.00000,26.00000,19.00000,82
13,177,0.01271,0.00000,29.00000,35.00000,90
13,193,0.01268,0.00000,32.00000,32.00000,94
13,209,0.01268,0.00000,27.00000,37.00000,87
13,225,0.01263,0.00000,33.00000,31.00000,96
13,241,0.01264,0.00000,31.00000,16.00000,88
13,257,0.01268,0.00000,31.00000,33.00000,92
13,273,0.01268,0.00000,33.00000,31.00000,96
13,289,0.01266,0.00000,34.00000,30.00000,98
13,305,0.01269,0.00000,33.00000,31.00000,96
13,321,0.01268,0.00000,30.00000,17.00000,88
13,337,0.01266,0.00000,32.00000,32.00000,94
13,353,0.01271,0.00000,38.00000,26.00000,103
13,369,0.01271,0.00000,28.00000,36.00000,90
13,385,0.01271,0.00000,33.00000,31.00000,96
14,1,0.01311,0.00000,33.00000,15.00000,92
14,17,0.01327,0.00000,35.00000,29.00000,98
14,33,0.01275,0.00000,29.00000,35.00000,91
14,49,0.01284,0.00000,31.00000,33.00000,92
14,65,0.01285,0.00000,32.00000,32.00000,94
14,81,0.01283,0.00000,30.00000,17.00000,88
14,97,0.01284,0.00000,29.00000,35.00000,91
14,113,0.01280,0.00000,37.00000,27.00000,102
14,129,0.01276,0.00000,32.00000,32.00000,94
14,145,0.01270,0.00000,37.00000,27.00000,102
14,161,0.01273,0.00000,37.00000,13.00000,99
14,177,0.01276,0.00000,29.00000,35.00000,91
14,193,0.01275,0.00000,32.00000,32.00000,94
14,209,0.01275,0.00000,26.00000,38.00000,87
14,225,0.01275,0.00000,36.00000,28.00000,99
14,241,0.01272,0.00000,34.00000,15.00000,94
14,257,0.01270,0.00000,28.00000,36.00000,90
14,273,0.01272,0.00000,26.00000,38.00000,87
14,289,0.01273,0.00000,37.00000,27.00000,102
14,305,0.01273,0.00000,28.00000,36.00000,90
14,321,0.01271,0.00000,31.00000,16.00000,88
14,337,0.01269,0.00000,37.00000,27.00000,102
14,353,0.01267,0.00000,31.00000,33.00000,93
14,369,0.01267,0.00000,27.00000,37.00000,87
14,385,0.01266,0.00000,33.00000,31.00000,96
15,1,0.01207,0.00000,34.00000,15.00000,95
15,17,0.01287,0.00000,25.00000,39.00000,86
15,33,0.01253,0.00000,34.00000,30.00000,98
15,49,0.01269,0.00000,33.00000,31.00000,96
15,65,0.01256,0.00000,34.00000,30.00000,98
15,81,0.01250,0.00000,32.00000,16.00000,90
15,97,0.01247,0.00000,30.00000,34.00000,92
15,113,0.01247,0.00000,30.00000,34.00000,92
15,129,0.01243,0.00000,27.00000,37.00000,88
15,145,0.01238,0.00000,35.00000,29.00000,99
15,161,0.01238,0.00000,35.00000,14.00000,95
15,177,0.01235,0.00000,35.00000,29.00000,98
15,193,0.01236,0.00000,29.00000,35.00000,91
15,209,0.01236,0.00000,30.00000,34.00000,92
15,225,0.01237,0.00000,36.00000,28.00000,99
15,241,0.01237,0.00000,29.00000,17.00000,86
15,257,0.01238,0.00000,33.00000,31.00000,96
15,273,0.01242,0.00000,29.00000,35.00000,91
15,289,0.01244,0.00000,30.00000,34.00000,92
15,305,0.01243,0.00000,34.00000,30.00000,98
15,321,0.01243,0.00000,28.00000,18.00000,86
15,337,0.01242,0.00000,32.00000,32.00000,95
15,353,0.01242,0.00000,30.00000,34.00000,92
15,369,0.01240,0.00000,33.00000,31.00000,101
15,385,0.01243,0.00000,30.00000,34.00000,92
16,1,0.01301,0.00000,31.00000,16.00000,89
16,17,0.01216,0.00000,32.00000,32.00000,94
16,33,0.01210,0.00000,35.00000,29.00000,98
16,49,0.01218,0.00000,33.00000,31.00000,96
16,65,0.01216,0.00000,29.00000,35.00000,91
16,81,0.01223,0.00000,25.00000,19.00000,81
16,97,0.01229,0.00000,27.00000,37.00000,87
16,113,0.01227,0.00000,31.00000,33.00000,92
16,129,0.01223,0.00000,37.00000,27.00000,102
16,145,0.01222,0.00000,29.00000,35.00000,91
16,161,0.01226,0.00000,30.00000,17.00000,88
16,177,0.01227,0.00000,34.00000,30.00000,97
16,193,0.01227,0.00000,26.00000,38.00000,87
16,209,0.01225,0.00000,26.00000,38.00000,86
16,225,0.01227,0.00000,27.00000,37.00000,87
16,241,0.01224,0.00000,33.00000,15.00000,92
16,257,0.01223,0.00000,36.00000,28.00000,99
16,273,0.01221,0.00000,37.00000,27.00000,284
16,289,0.01219,0.00000,34.00000,30.00000,97
16,305,0.01220,0.00000,26.00000,38.00000,87
16,321,0.01225,0.00000,36.00000,14.00000,95
16,337,0.01224,0.00000,28.00000,36.00000,90
16,353,0.01224,0.00000,36.00000,28.00000,99
16,369,0.01223,0.00000,25.00000,39.00000,86
16,385,0.01222,0.00000,31.00000,33.00000,92
17,1,0.01454,0.00000,28.00000,18.00000,86
17,17,0.01234,0.00000,28.00000,36.00000,90
17,33,0.01156,0.00000,30.00000,34.00000,92
17,49,0.01163,0.00000,26.00000,38.00000,86
17,65,0.01155,0.00000,27.00000,37.00000,87
17,81,0.01163,0.00000,33.00000,15.00000,92
17,97,0.01170,0.00000,37.00000,27.00000,102
17,113,0.01181,0.00000,29.00000,35.00000,91
17,129,0.01176,0.00000,34.00000,30.00000,97
17,145,0.01178,0.00000,31.00000,33.00000,92
17,161,0.01177,0.00000,34.00000,15.00000,94
17,177,0.01179,0.00000,35.00000,29.00000,98
17,193,0.01179,0.00000,25.00000,39.00000,86
17,209,0.01182,0.00000,26.00000,38.00000,87
17,225,0.01186,0.00000,33.00000,31.00000,96
17,241,0.01193,0.00000,31.00000,16.00000,88
17,257,0.01194,0.00000,29.00000,35.00000,91
17,273,0.01193,0.00000,29.00000,35.00000,91
17,289,0.01195,0.00000,35.00000,29.00000,98
17,305,0.01195,0.00000,26.00000,38.00000,87
17,321,0.01194,0.00000,33.00000,15.00000,92
17,337,0.01194,0.00000,35.00000,29.00000,99
17,353,0.01191,0.00000,30.00000,34.00000,92
17,369,0.01190,0.00000,32.00000,32.00000,94
17,385,0.01188,0.00000,26.00000,38.00000,87
18,1,0.01155,0.00000,32.00000,16.00000,90
18,17,0.01147,0.00000,30.00000,34.00000,92
18,33,0.01180,0.00000,37.00000,27.00000,102
